Date,SPY,XLK,XLF,XLV,XLE
2020-01-02,296.1252746582031,44.24143600463867,27.54647445678711,91.9007797241211,23.188854217529297
2020-01-03,293.8829345703125,43.744014739990234,27.253999710083008,91.09992980957031,23.119953155517578
2020-01-06,295.0041809082031,43.84823989868164,27.236268997192383,91.66683959960938,23.29985809326172
2020-01-07,294.1746826171875,43.82928466796875,27.059009552001953,91.48686981201172,23.238615036010742
2020-01-08,295.7425231933594,44.298282623291016,27.236268997192383,92.08075714111328,22.855831146240234
2020-01-09,297.74786376953125,44.80043029785156,27.4046688079834,92.47667694091797,23.02425765991211
2020-01-10,296.8910217285156,44.69620132446289,27.200817108154297,92.50370025634766,22.894113540649414
2020-01-13,298.9327392578125,45.25520706176758,27.38694190979004,92.17974090576172,22.901769638061523
2020-01-14,298.4770812988281,45.04204177856445,27.333759307861328,92.73764038085938,22.905595779418945
2020-01-15,299.1514587402344,45.094146728515625,27.183090209960938,93.53851318359375,22.737171173095703
2020-01-16,301.6399841308594,45.70051574707031,27.422391891479492,94.0244140625,22.77545166015625
2020-01-17,302.5788269042969,46.00843048095703,27.502164840698242,94.0244140625,22.62999153137207
2020-01-21,301.9863586425781,45.98948287963867,27.27172088623047,94.12338256835938,22.224245071411133
2020-01-22,302.0227966308594,46.155303955078125,27.35148811340332,94.24039459228516,22.0098876953125
2020-01-23,302.3692321777344,46.37320327758789,27.28058433532715,93.76347351074219,21.925676345825195
2020-01-24,299.6802062988281,46.155303955078125,26.934925079345703,92.19773864746094,21.673036575317383
2020-01-27,294.8764953613281,45.05623245239258,26.51835823059082,91.49585723876953,21.072078704833984
2020-01-28,297.9666442871094,45.918434143066406,26.828567504882812,91.94579315185547,21.167770385742188
2020-01-29,297.72039794921875,46.036869049072266,26.78424835205078,91.69383239746094,20.945756912231445
2020-01-30,298.68670654296875,46.43478012084961,27.121051788330078,91.0279541015625,21.114177703857422
2020-01-31,293.26312255859375,45.16046905517578,26.55380630493164,89.21026611328125,20.45579719543457
