Date,SPY,XLK,XLF,XLV,XLE
2020-01-03,-0.007572268495077972,-0.011243334520070314,-0.01061750196610145,-0.008714288572467699,-0.0029713008398506435
2020-01-06,0.003815282229742367,0.002382615297450652,-0.0006505728729447879,0.006222944312076706,0.007781371204950149
2020-01-07,-0.002811818762913587,-0.00043229171243108766,-0.006508213192074952,-0.001963303069940525,-0.0026284734012473887
2020-01-08,0.005329624433425995,0.010700561482469784,0.006550847504221302,0.006491503429091994,-0.016471889102571025
2020-01-09,0.006780697461151952,0.011335601400866313,0.0061829250845031325,0.004299701828015312,0.0073690828652968055
2020-01-10,-0.002877743706261704,-0.002326517238689818,-0.0074385755674492016,0.0002922176306892066,-0.00565247840712324
2020-01-13,0.006876993172140633,0.012506784038462282,0.006842618032233405,-0.003502123154946024,0.00033441335907213876
2020-01-14,-0.001524282553044154,-0.0047102929594859955,-0.0019418963279612678,0.0060523003169212775,0.00016706749818418132
2020-01-15,0.0022593943845594655,0.0011568070161500632,-0.005512198165038229,0.008635897996167596,-0.007352989546535849
2020-01-16,0.008318613591605128,0.013446734499829027,0.008803328822080125,0.005194661133350875,0.0016836081660784874
2020-01-17,0.0031124612877257984,0.006737664309761193,0.002909044168518893,0.0,-0.006386706659198826
2020-01-21,-0.0019580625246661265,-0.00041182890005786454,-0.008379120545694563,0.0010525830641558986,-0.017929589562525883
2020-01-22,0.00012066104060148852,0.0036056303540841217,0.0029249062611640397,0.0012431769952678806,-0.00964520393875512
2020-01-23,0.00114705098667911,0.0047210028715625185,-0.002592318845036634,-0.0050606863819521175,-0.0038260690219350524
2020-01-24,-0.0088931861867666,-0.004698819730123649,-0.012670522439427123,-0.01669877197010916,-0.01152255312552386
2020-01-27,-0.01602945685611934,-0.023812463758341784,-0.015465676905643821,-0.007612783339244422,-0.027728365076807315
2020-01-28,0.010479468436420225,0.01913612487650518,0.01169790646896618,0.004917555031062948,0.004541159998906474
2020-01-29,-0.0008264224959803057,0.0025792453121735726,-0.0016519388455594752,-0.002740318461100233,-0.010488278617207691
2020-01-30,0.0032456915965657362,0.008643313066168723,0.012574683144076726,-0.00726197475324275,0.008040807134910732
