Date,SPY,XLK,XLF,XLV,XLE,PORTFOLIO
2020-01-03,9924.27731504922,9887.566654799297,9893.824980338986,9912.857114275323,9970.286991601493,9917.762611212864
2020-01-06,9962.141233932363,9911.124922365585,9887.388326197113,9974.544272071033,10047.86949570303,9956.544316388574
2020-01-07,9934.129498291997,9906.840425200777,9823.03909505739,9954.961218680417,10021.45893799437,9927.980782646822
2020-01-08,9987.074677590912,10012.849180267656,9887.388326197113,10019.583883567959,9856.386577721758,9953.000580382328
2020-01-09,10054.794009501586,10126.35084746216,9948.52130749938,10062.66510670809,9929.019107165388,10024.598502555818
2020-01-10,10025.858889322984,10102.791717650518,9874.518479969169,10065.60559486399,9872.89554105822,9988.503738131216
2020-01-13,10094.806652449704,10229.14515184874,9942.086038179828,10030.354604441662,9876.197169219875,10034.568091287892
2020-01-14,10079.419314793022,10180.962881458427,9922.77953781001,10091.061322792957,9877.84716077251,10030.640352567
2020-01-15,10102.192698192484,10192.740290750862,9868.083210649616,10178.20669904967,9805.215453857072,10029.00919327508
2020-01-16,10186.228935676681,10329.799363266298,9954.955191996612,10231.079033796435,9821.723594665344,10104.120346841017
2020-01-17,10217.93317890689,10399.398083763172,9983.914596345758,10231.079033796435,9758.995127178485,10116.997973668413
2020-01-21,10197.925826869727,10395.115311089072,9900.258172425058,10241.848094315448,9584.020350005485,10061.099499094562
2020-01-22,10199.156319211976,10432.59625438894,9929.215499540724,10254.58052425533,9491.580519176503,10057.57644556079
2020-01-23,10210.85527153122,10481.848571263761,9903.475807084835,10202.6853082436,9455.26507698288,10046.289792257412
2020-01-24,10120.048234475367,10432.59625438894,9777.993594642841,10032.312992798457,9346.316282817434,9936.817676101977
2020-01-27,9957.829357918998,10184.17043417589,9626.77030492264,9955.939167592796,9087.158212804165,9756.665663915
2020-01-28,10062.182116370568,10379.055991367892,9739.383363547846,10004.89804633535,9128.424452183885,9855.73916890216
2020-01-29,10053.86650271095,10405.826122878414,9723.294497837807,9977.48143951755,9032.682993193248,9829.862505647478
2020-01-30,10086.49825273179,10495.766935770569,9845.561845264661,9905.025221202826,9105.313055052304,9879.488606197234
2020-01-31,9903.346578473824,10207.731288478239,9639.638766328268,9707.237129117231,8821.391951298432,9646.990988579635
2020-02-03,9976.914355981022,10342.646819043242,9707.207709361246,9795.35962410898,8705.843190922446,9692.591123159205
2020-02-04,10128.973941490603,10613.555686865942,9800.515652438957,9967.689497733572,8737.20783592997,9832.63448549483
2020-02-05,10245.944914547254,10675.659770744482,9996.783750162545,10159.601594571435,9065.69762975341,10018.030630205907
2020-02-06,10280.422403081466,10773.100393727098,9983.91459634576,10168.412266733656,8973.257798924427,10021.788572025755
2020-02-07,10225.631485269181,10674.589724259973,9948.52130749938,10089.101274081471,8910.530976493952,9956.027676644706
2020-02-10,10301.968385827984,10819.142571148392,9977.479327026209,10142.955708627342,8865.962286424383,10004.322157095956
2020-02-11,10319.820830421562,10782.736847805161,10012.870538639107,10203.66159680129,8965.00372852029,10042.480829893311
2020-02-12,10386.30863942689,10899.45210343461,10019.30303831402,10216.391536209136,9085.506576195145,10107.954751464285
